codigo,preco,hora,data,variacao
"PLPL3", "R$8.95","17:54:06", "02/01/2025",
"KLBN4", "R$4.53","17:54:09", "02/01/2025",
"TTEN3", "R$13.31","17:54:12", "02/01/2025",
"NEOE3", "R$18.92","17:54:14", "02/01/2025",
"VITT3", "R$5.28","17:54:16", "02/01/2025",
"KEPL3", "R$9.37","17:54:17", "02/01/2025",
"LOGG3", "R$18.30","17:54:18", "02/01/2025",
"VULC3", "R$15.62","17:54:18", "02/01/2025",
"BLAU3", "R$12.91","17:54:19", "02/01/2025",
"RANI3", "R$6.70","17:54:20", "02/01/2025",
"MDNE3", "R$10.58","17:54:21", "02/01/2025",
"BRSR6", "R$10.14","17:54:22", "02/01/2025",
"LAVV3", "R$7.41","17:54:23", "02/01/2025",
"MTRE3", "R$2.82","17:54:24", "02/01/2025",
"JALL3", "R$4.54","17:54:25", "02/01/2025",
"POSI3", "R$5.09","17:54:26", "02/01/2025",
"MILS3", "R$8.33","17:54:27", "02/01/2025",
"WIZC3", "R$5.48","17:54:29", "02/01/2025",
"SYNE3", "R$5.34","17:54:30", "02/01/2025",
"MYPK3", "R$11.52","17:54:31", "02/01/2025",
"VLID3", "R$21.70","17:54:33", "02/01/2025",
"PFRM3", "R$6.12","17:54:34", "02/01/2025",
"SOJA3", "R$10.13","17:54:36", "02/01/2025",
"TRIS3", "R$4.31","17:54:38", "02/01/2025",
"TASA4", "R$8.31","17:54:40", "02/01/2025",
"VSTE3", "R$6.80","17:54:42", "02/01/2025",
"BMOB3", "R$13.15","17:54:44", "02/01/2025",
"JSLG3", "R$5.27","17:54:45", "02/01/2025",
"AGRO3", "R$22.20","17:54:46", "02/01/2025",
"POMO3", "R$5.81","17:54:48", "02/01/2025",
"TGMA3", "R$28.30","17:54:50", "02/01/2025",
"LEVE3", "R$26.61","17:54:52", "02/01/2025",
"BMGB4", "R$3.75","17:54:53", "02/01/2025",
"SHUL4", "R$5.63","17:54:54", "02/01/2025",
"KLBN3", "R$4.83","17:54:55", "02/01/2025",
"FIQE3", "R$3.42","17:54:57", "02/01/2025",
"USIM3", "R$5.18","17:54:59", "02/01/2025",
"CMIG3", "R$14.60","17:55:01", "02/01/2025",
"PNVL3", "R$8.61","17:55:03", "02/01/2025",
"TAEE4", "R$11.00","17:55:04", "02/01/2025",
"SAPR3", "R$5.30","17:55:05", "02/01/2025",
"ROMI3", "R$8.25","17:55:06", "02/01/2025",
"CSED3", "R$3.08","17:55:07", "02/01/2025",
"FRAS3", "R$20.44","17:55:09", "02/01/2025",
"ITSA3", "R$8.89","17:55:14", "02/01/2025",
"SANB3", "R$11.33","17:55:15", "02/01/2025",
"ELMD3", "R$28.35","17:55:17", "02/01/2025",
"DESK3", "R$10.45","17:55:17", "02/01/2025",
"UNIP6", "R$46.20","17:55:18", "02/01/2025",
"ETER3", "R$5.14","17:55:22", "02/01/2025",
"BRAP3", "R$15.74","17:55:25", "02/01/2025",
"TPIS3", "R$5.15","17:55:26", "02/01/2025",
"GOAU3", "R$10.14","17:55:29", "02/01/2025",
"SCAR3", "R$16.81","17:55:30", "02/01/2025",
"EUCA4", "R$13.55","17:55:34", "02/01/2025",
"TECN3", "R$5.30","17:55:36", "02/01/2025",
"CSUD3", "R$15.29","17:55:37", "02/01/2025",
"CGRA3", "R$25.33","17:55:43", "02/01/2025",
"GGBR3", "R$16.61","17:55:44", "02/01/2025",
"IGTI3", "R$2.07","17:55:45", "02/01/2025",
"LAND3", "R$13.79","17:55:48", "02/01/2025",
"PTNT4", "R$5.90","17:55:49", "02/01/2025",
"BEES3", "R$8.48","17:55:51", "02/01/2025",
"ENGI4", "R$6.35","17:55:52", "02/01/2025",
"NGRD3", "R$21.82","17:55:54", "02/01/2025",
"EPAR3", "R$5.48","17:55:57", "02/01/2025",
"UCAS3", "R$1.88","17:55:59", "02/01/2025",
"ALUP4", "R$8.83","17:56:02", "02/01/2025",
"CTSA4", "R$0.80","17:56:03", "02/01/2025",
"TASA3", "R$8.68","17:56:04", "02/01/2025",
"CGRA4", "R$25.76","17:56:09", "02/01/2025",
"OFSA3", "R$17.60","17:56:10", "02/01/2025",
"OFSA3", "R$17.60","17:56:12", "02/01/2025",
"WHRL4", "R$4.25","17:56:12", "02/01/2025",
"PDTC3", "R$1.24","17:56:13", "02/01/2025",
"COCE5", "R$24.37","17:56:14", "02/01/2025",
"CEBR3", "R$15.77","17:56:15", "02/01/2025",
"BRSR3", "R$11.66","17:56:17", "02/01/2025",
"BRSR3", "R$11.66","17:56:18", "02/01/2025",
"RAPT3", "R$8.27","17:56:19", "02/01/2025",
"ALUP3", "R$8.93","17:56:21", "02/01/2025",
"PINE3", "R$4.53","17:56:24", "02/01/2025",
"CGAS5", "R$121.00","17:56:25", "02/01/2025",
"BPAC5", "R$7.08","17:56:26", "02/01/2025",
"CEBR6", "R$17.07","17:56:27", "02/01/2025",
"ENGI3", "R$10.47","17:56:29", "02/01/2025",
"BEES4", "R$8.66","17:56:35", "02/01/2025",
"WHRL3", "R$3.86","17:56:35", "02/01/2025",
"WLMM4", "R$29.90","17:56:38", "02/01/2025",
"BPAC3", "R$13.92","17:56:39", "02/01/2025",
"BAZA3", "R$86.14","17:56:40", "02/01/2025",
"DEXP4", "R$8.26","17:56:41", "02/01/2025",
"REDE3", "R$6.29","17:56:45", "02/01/2025",
"EKTR4", "R$50.00","17:56:46", "02/01/2025",
"CPLE5", "R$10.40","17:56:49", "02/01/2025",
"PEAB3", "R$42.50","17:56:50", "02/01/2025",
"EQMA3B", "R$23.55","17:56:51", "02/01/2025",
"TKNO3", "R$50.02","17:56:52", "02/01/2025",
"BGIP4", "R$23.01","17:56:53", "02/01/2025",
"EUCA3", "R$16.60","17:56:54", "02/01/2025",
"CEBR5", "R$15.41","17:56:55", "02/01/2025",
"AFLT3", "R$7.49","17:56:56", "02/01/2025",
"CRPG6", "R$19.96","17:57:01", "02/01/2025",
"BMIN4", "R$16.90","17:57:02", "02/01/2025",
"RPAD5", "R$8.89","17:57:04", "02/01/2025",
"RPAD6", "R$5.72","17:57:05", "02/01/2025",
"UNIP5", "R$50.30","17:57:06", "02/01/2025",
"CEEB3", "R$39.00","17:57:07", "02/01/2025",
"PATI3", "R$26.00","17:57:09", "02/01/2025",
"BSLI4", "R$8.47","17:57:12", "02/01/2025",
"EMAE4", "R$41.00","17:57:13", "02/01/2025",
"CEDO4", "R$23.29","17:57:14", "02/01/2025",
"TKNO4", "R$61.00","17:57:16", "02/01/2025",
"CGAS3", "R$120.00","17:57:22", "02/01/2025",
"BMKS3", "R$337.00","17:57:25", "02/01/2025",
"GEPA3", "R$31.00","17:57:32", "02/01/2025",
"PTNT3", "R$8.50","17:57:35", "02/01/2025",
"MWET4", "R$12.60","17:57:36", "02/01/2025",
"BALM3", "R$13.00","17:57:39", "02/01/2025",
"HBTS5", "R$28.50","17:57:41", "02/01/2025",
"BSLI3", "R$8.10","17:57:43", "02/01/2025",
"CRPG3", "R$21.15","17:57:48", "02/01/2025",
"petr4", "R$36.86","17:57:54", "02/01/2025",
"MXRF11", "R$9.26","17:57:55", "02/01/2025",
"AFHI11", "R$90.78","17:57:57", "02/01/2025",
"AFHI11", "R$90.78","17:57:58", "02/01/2025",
"ALZC11", "R$93.50","17:57:59", "02/01/2025",
"ALZR11", "R$100.73","17:58:03", "02/01/2025",
"ALZR11", "R$100.73","17:58:04", "02/01/2025",
"ALZR11", "R$100.73","17:58:05", "02/01/2025",
"ALZR11", "R$100.73","17:58:05", "02/01/2025",
"ARXD11", "R$7.31","17:58:07", "02/01/2025",
"AIEC11", "R$46.49","17:58:08", "02/01/2025",
"AZPL11", "R$6.56","17:58:10", "02/01/2025",
"BCRI11", "R$58.04","17:58:11", "02/01/2025",
"BTML11", "R$111.28","17:58:14", "02/01/2025",
"BTML11", "R$111.28","17:58:15", "02/01/2025",
"BTML11", "R$111.28","17:58:16", "02/01/2025",
"BGRB11", "R$101.50","17:58:23", "02/01/2025",
"BGRB11", "R$101.50","17:58:24", "02/01/2025",
"BGRB11", "R$101.50","17:58:25", "02/01/2025",
"CARE11", "R$1.35","17:58:27", "02/01/2025",
"CARE11", "R$1.35","17:58:28", "02/01/2025",
"CARE11", "R$1.35","17:58:29", "02/01/2025",
"CARE11", "R$1.35","17:58:30", "02/01/2025",
"BICE11", "R$980.00","17:58:32", "02/01/2025",
"BRIM11", "R$960.00","17:58:33", "02/01/2025",
"BRIP11", "R$947.85","17:58:34", "02/01/2025",
"BTHI11", "R$43.90","17:58:40", "02/01/2025",
"CRFF11", "R$65.15","17:58:45", "02/01/2025",
"CCME11", "R$8.64","17:58:47", "02/01/2025",
"CPFF11", "R$60.11","17:58:52", "02/01/2025",
"CPFF11", "R$60.11","17:58:53", "02/01/2025",
"CPSH11", "R$9.03","17:58:53", "02/01/2025",
"CPSH11", "R$9.03","17:58:54", "02/01/2025",
"BLCA11", "R$113.01","17:58:56", "02/01/2025",
"RENV11", "R$9.50","17:59:05", "02/01/2025",
"CYCR11", "R$8.36","17:59:05", "02/01/2025",
"ASMT11", "R$34.30","17:59:09", "02/01/2025",
"ASMT11", "R$34.30","17:59:10", "02/01/2025",
"DPRO11", "R$6.05","17:59:11", "02/01/2025",
"DEVA11", "R$30.65","17:59:12", "02/01/2025",
"DAMT11", "R$11.46","17:59:13", "02/01/2025",
"DAMT11", "R$11.46","17:59:14", "02/01/2025",
"DAMT11", "R$11.46","17:59:15", "02/01/2025",
"EGYR11", "R$3.75","17:59:18", "02/01/2025",
"EQIR11", "R$7.92","17:59:20", "02/01/2025",
"KEVE11", "R$920.00","17:59:24", "02/01/2025",
"EXES11", "R$9.50","17:59:25", "02/01/2025",
"EXES11", "R$9.50","17:59:26", "02/01/2025",
"EXES11", "R$9.50","17:59:27", "02/01/2025",
"EXES11", "R$9.50","17:59:28", "02/01/2025",
"BMII11", "R$0.00","17:59:30", "02/01/2025",
"BMII11", "R$0.00","17:59:31", "02/01/2025",
"BMII11", "R$0.00","17:59:31", "02/01/2025",
"IBCR11", "R$60.50","17:59:32", "02/01/2025",
"GAME11", "R$8.70","17:59:36", "02/01/2025",
"BMLC11", "R$94.19","17:59:40", "02/01/2025",
"FAMB11", "R$780.00","17:59:43", "02/01/2025",
"BPFF11", "R$55.44","18:00:02", "02/01/2025",
"BPML11", "R$72.87","18:00:04", "02/01/2025",
"BPML11", "R$72.87","18:00:05", "02/01/2025",
"CXCI11", "R$64.57","18:00:07", "02/01/2025",
"CXCI11", "R$64.57","18:00:08", "02/01/2025",
"CTXT11", "R$6.49","18:00:09", "02/01/2025",
"CTXT11", "R$6.49","18:00:10", "02/01/2025",
"CTXT11", "R$6.49","18:00:10", "02/01/2025",
"EDFO11", "R$150.50","18:00:12", "02/01/2025",
"EDFO11", "R$150.50","18:00:12", "02/01/2025",
"HUCG11", "R$102.65","18:00:16", "02/01/2025",
"HUSC11", "R$91.37","18:00:17", "02/01/2025",
"HUSC11", "R$91.37","18:00:18", "02/01/2025",
"HUSC11", "R$91.37","18:00:19", "02/01/2025",
"HUSC11", "R$91.37","18:00:20", "02/01/2025",
"HUSC11", "R$91.37","18:00:20", "02/01/2025",
"HUSC11", "R$91.37","18:00:21", "02/01/2025",
"HUSC11", "R$91.37","18:00:21", "02/01/2025",
"PABY11", "R$11.93","18:00:23", "02/01/2025",
"PABY11", "R$11.93","18:00:24", "02/01/2025",
"PABY11", "R$11.93","18:00:25", "02/01/2025",
"PABY11", "R$11.93","18:00:26", "02/01/2025",
"PABY11", "R$11.93","18:00:26", "02/01/2025",
"PABY11", "R$11.93","18:00:27", "02/01/2025",
"RBRP11", "R$49.35","18:00:30", "02/01/2025",
"RCRB11", "R$137.55","18:00:31", "02/01/2025",
"RBED11", "R$101.00","18:00:31", "02/01/2025",
"RBVA11", "R$86.32","18:00:32", "02/01/2025",
"SCPF11", "R$1.82","18:00:36", "02/01/2025",
"TGAR11", "R$87.05","18:00:39", "02/01/2025",
"TGAR11", "R$87.05","18:00:40", "02/01/2025",
"TGAR11", "R$87.05","18:00:41", "02/01/2025",
"BARI11", "R$67.52","18:00:41", "02/01/2025",
"FVPQ11", "R$43.21","18:00:45", "02/01/2025",
"FVPQ11", "R$43.21","18:00:45", "02/01/2025",
"FVPQ11", "R$43.21","18:00:46", "02/01/2025",
"FVPQ11", "R$43.21","18:00:47", "02/01/2025",
"FVPQ11", "R$43.21","18:00:48", "02/01/2025",
"FIGV11", "R$45.74","18:00:48", "02/01/2025",
"PLCR11", "R$74.51","18:00:49", "02/01/2025",
"CVBI11", "R$84.31","18:00:52", "02/01/2025",
"CVBI11", "R$84.31","18:00:53", "02/01/2025",
"CVBI11", "R$84.31","18:00:53", "02/01/2025",
"BTAL11", "R$67.80","18:00:54", "02/01/2025",
"CXCO11", "R$58.69","18:00:55", "02/01/2025",
"HOSI11", "R$87.96","18:00:56", "02/01/2025",
"MGHT11", "R$13.60","18:00:57", "02/01/2025",
"PVBI11", "R$77.04","18:00:58", "02/01/2025",
"DVFF11", "R$6.17","18:00:59", "02/01/2025",
"RFOF11", "R$56.14","18:00:59", "02/01/2025",
"RFOF11", "R$56.14","18:01:00", "02/01/2025",
"RFOF11", "R$56.14","18:01:01", "02/01/2025",
"RFOF11", "R$56.14","18:01:02", "02/01/2025",
"RFOF11", "R$56.14","18:01:02", "02/01/2025",
"BTCI11", "R$8.81","18:01:05", "02/01/2025",
"BTCI11", "R$8.81","18:01:05", "02/01/2025",
"BTCI11", "R$8.81","18:01:06", "02/01/2025",
"BTCI11", "R$8.81","18:01:08", "02/01/2025",
"FLNR11", "R$0.00","18:01:09", "02/01/2025",
"FLNR11", "R$0.00","18:01:10", "02/01/2025",
"FLNR11", "R$0.00","18:01:11", "02/01/2025",
"FLNR11", "R$0.00","18:01:11", "02/01/2025",
"FLNR11", "R$0.00","18:01:12", "02/01/2025",
"FLNR11", "R$0.00","18:01:14", "02/01/2025",
"FLNR11", "R$0.00","18:01:15", "02/01/2025",
"FLNR11", "R$0.00","18:01:15", "02/01/2025",
"FLNR11", "R$0.00","18:01:16", "02/01/2025",
"RBRI11", "R$705.05","18:01:20", "02/01/2025",
"RBRI11", "R$705.05","18:01:21", "02/01/2025",
"CXAG11", "R$72.40","18:01:22", "02/01/2025",
"CXAG11", "R$72.40","18:01:22", "02/01/2025",
"CXAG11", "R$72.40","18:01:23", "02/01/2025",
"OPTM11", "R$0.00","18:01:26", "02/01/2025",
"GZIT11", "R$43.70","18:01:31", "02/01/2025",
"GLOG11", "R$54.79","18:01:34", "02/01/2025",
"MALL11", "R$95.30","18:01:35", "02/01/2025",
"GGRC11", "R$9.90","18:01:36", "02/01/2025",
"HABT11", "R$76.48","18:01:40", "02/01/2025",
"HABT11", "R$76.48","18:01:40", "02/01/2025",
"HABT11", "R$76.48","18:01:41", "02/01/2025",
"HCHG11", "R$68.66","18:01:42", "02/01/2025",
"HAAA11", "R$25.14","18:01:43", "02/01/2025",
"HAAA11", "R$25.14","18:01:44", "02/01/2025",
"HGBS11", "R$187.75","18:01:46", "02/01/2025",
"HGBS11", "R$187.75","18:01:47", "02/01/2025",
"HLOG11", "R$79.09","18:01:49", "02/01/2025",
"HOFC11", "R$24.30","18:01:50", "02/01/2025",
"HDOF11", "R$100.00","18:01:52", "02/01/2025",
"HDOF11", "R$100.00","18:01:52", "02/01/2025",
"HPDP11", "R$81.44","18:01:54", "02/01/2025",
"HGIC11", "R$75.05","18:01:56", "02/01/2025",
"HSAF11", "R$69.79","18:01:58", "02/01/2025",
"HSLG11", "R$77.65","18:01:59", "02/01/2025",
"HSML11", "R$72.65","18:02:00", "02/01/2025",
"ICNE11", "R$0.00","18:02:05", "02/01/2025",
"ICNE11", "R$0.00","18:02:06", "02/01/2025",
"ICNE11", "R$0.00","18:02:07", "02/01/2025",
"INLG11", "R$70.00","18:02:08", "02/01/2025",
"IBBP11", "R$8.75","18:02:13", "02/01/2025",
"ISCJ11", "R$90.00","18:02:15", "02/01/2025",
"IRIM11", "R$62.62","18:02:16", "02/01/2025",
"TMPS11", "R$75.87","18:02:18", "02/01/2025",
"TMPS11", "R$75.87","18:02:19", "02/01/2025",
"TMPS11", "R$75.87","18:02:19", "02/01/2025",
"TMPS11", "R$75.87","18:02:20", "02/01/2025",
"VJFD11", "R$155.02","18:02:24", "02/01/2025",
"VJFD11", "R$155.02","18:02:25", "02/01/2025",
"VJFD11", "R$155.02","18:02:26", "02/01/2025",
"JPPA11", "R$76.95","18:02:28", "02/01/2025",
"JPPA11", "R$76.95","18:02:28", "02/01/2025",
"JSRE11", "R$57.09","18:02:29", "02/01/2025",
"JSCR11", "R$79.95","18:02:32", "02/01/2025",
"JSCR11", "R$79.95","18:02:33", "02/01/2025",
"KISU11", "R$7.09","18:02:34", "02/01/2025",
"KIVO11", "R$59.56","18:02:35", "02/01/2025",
"KIVO11", "R$59.56","18:02:36", "02/01/2025",
"KIVO11", "R$59.56","18:02:36", "02/01/2025",
"KCRE11", "R$8.40","18:02:37", "02/01/2025",
"KCRE11", "R$8.40","18:02:38", "02/01/2025",
"KCRE11", "R$8.40","18:02:39", "02/01/2025",
"KNHF11", "R$82.43","18:02:39", "02/01/2025",
"KNIP11", "R$88.95","18:02:42", "02/01/2025",
"KORE11", "R$80.95","18:02:45", "02/01/2025",
"KORE11", "R$80.95","18:02:46", "02/01/2025",
"KORE11", "R$80.95","18:02:47", "02/01/2025",
"KORE11", "R$80.95","18:02:47", "02/01/2025",
"KORE11", "R$80.95","18:02:48", "02/01/2025",
"KNSC11", "R$8.77","18:02:49", "02/01/2025",
"KNUQ11", "R$101.25","18:02:49", "02/01/2025",
"KNUQ11", "R$101.25","18:02:50", "02/01/2025",
"KNUQ11", "R$101.25","18:02:51", "02/01/2025",
"KNUQ11", "R$101.25","18:02:52", "02/01/2025",
"KNUQ11", "R$101.25","18:02:52", "02/01/2025",
"LASC11", "R$109.39","18:02:53", "02/01/2025",
"LASC11", "R$109.39","18:02:55", "02/01/2025",
"LASC11", "R$109.39","18:02:55", "02/01/2025",
"LFTT11", "R$8.17","18:02:56", "02/01/2025",
"MMVE11", "R$161.74","18:02:59", "02/01/2025",
"MCRE11", "R$7.78","18:03:00", "02/01/2025",
"MCRE11", "R$7.78","18:03:01", "02/01/2025",
"MCRE11", "R$7.78","18:03:02", "02/01/2025",
"MCRE11", "R$7.78","18:03:03", "02/01/2025",
"MCRE11", "R$7.78","18:03:04", "02/01/2025",
"MCRE11", "R$7.78","18:03:04", "02/01/2025",
"SHOP11", "R$54.49","18:03:06", "02/01/2025",
"SHOP11", "R$54.49","18:03:06", "02/01/2025",
"SHOP11", "R$54.49","18:03:07", "02/01/2025",
"NCRI11", "R$8.59","18:03:08", "02/01/2025",
"NCRI11", "R$8.59","18:03:09", "02/01/2025",
"NCRI11", "R$8.59","18:03:10", "02/01/2025",
"NCRI11", "R$8.59","18:03:11", "02/01/2025",
"NVIF11", "R$0.00","18:03:14", "02/01/2025",
"NVIF11", "R$0.00","18:03:14", "02/01/2025",
"ARRI11", "R$7.92","18:03:15", "02/01/2025",
"OUJP11", "R$71.35","18:03:18", "02/01/2025",
"PNCR11", "R$70.20","18:03:20", "02/01/2025",
"PNCR11", "R$70.20","18:03:20", "02/01/2025",
"PMIS11", "R$7.58","18:03:23", "02/01/2025",
"PMIS11", "R$7.58","18:03:24", "02/01/2025",
"PATC11", "R$34.49","18:03:27", "02/01/2025",
"HGFF11", "R$69.88","18:03:30", "02/01/2025",
"HGFF11", "R$69.88","18:03:31", "02/01/2025",
"HGCR11", "R$93.67","18:03:34", "02/01/2025",
"PORD11", "R$7.68","18:03:36", "02/01/2025",
"PLRI11", "R$12.64","18:03:38", "02/01/2025",
"PLRI11", "R$12.64","18:03:39", "02/01/2025",
"PRSV11", "R$55.16","18:03:40", "02/01/2025",
"PRSV11", "R$55.16","18:03:41", "02/01/2025",
"PRSV11", "R$55.16","18:03:42", "02/01/2025",
"PRSV11", "R$55.16","18:03:42", "02/01/2025",
"RZZV11", "R$0.00","18:03:44", "02/01/2025",
"RZZR11", "R$148.89","18:03:45", "02/01/2025",
"RZZR11", "R$148.89","18:03:46", "02/01/2025",
"FIIP11", "R$134.69","18:03:49", "02/01/2025",
"RBRF11", "R$6.52","18:03:54", "02/01/2025",
"RBRF11", "R$6.52","18:03:55", "02/01/2025",
"RBRL11", "R$68.76","18:03:58", "02/01/2025",
"RPRI11", "R$81.82","18:04:00", "02/01/2025",
"RMAI11", "R$85.00","18:04:03", "02/01/2025",
"RINV11", "R$97.40","18:04:04", "02/01/2025",
"RBOP11", "R$235.01","18:04:11", "02/01/2025",
"RZAK11", "R$76.75","18:04:13", "02/01/2025",
"RZAT11", "R$85.85","18:04:15", "02/01/2025",
"RZAT11", "R$85.85","18:04:16", "02/01/2025",
"RZAT11", "R$85.85","18:04:17", "02/01/2025",
"SARE11", "R$3.65","18:04:18", "02/01/2025",
"SPTW11", "R$33.20","18:04:25", "02/01/2025",
"DVLP11", "R$129.70","18:04:29", "02/01/2025",
"PMFO11", "R$90.22","18:04:30", "02/01/2025",
"PMFO11", "R$90.22","18:04:31", "02/01/2025",
"PMFO11", "R$90.22","18:04:31", "02/01/2025",
"PMFO11", "R$90.22","18:04:32", "02/01/2025",
"PMFO11", "R$90.22","18:04:33", "02/01/2025",
"STRX11", "R$168.00","18:04:34", "02/01/2025",
"SNCI11", "R$86.19","18:04:37", "02/01/2025",
"SPMO11", "R$144.00","18:04:39", "02/01/2025",
"TSER11", "R$100.00","18:04:43", "02/01/2025",
"VOTS11", "R$72.96","18:04:43", "02/01/2025",
"TJKB11", "R$270.00","18:04:44", "02/01/2025",
"TJKB11", "R$270.00","18:04:45", "02/01/2025",
"TSNC11", "R$82.01","18:04:46", "02/01/2025",
"TRXB11", "R$136.00","18:04:49", "02/01/2025",
"URPR11", "R$56.81","18:04:51", "02/01/2025",
"VGHF11", "R$7.36","18:04:58", "02/01/2025",
"RVBI11", "R$64.58","18:05:02", "02/01/2025",
"VCJR11", "R$75.87","18:05:02", "02/01/2025",
"VCJR11", "R$75.87","18:05:04", "02/01/2025",
"VCJR11", "R$75.87","18:05:04", "02/01/2025",
"VLJS11", "R$0.00","18:05:06", "02/01/2025",
"VLJS11", "R$0.00","18:05:07", "02/01/2025",
"VSLH11", "R$3.07","18:05:08", "02/01/2025",
"VSLH11", "R$3.07","18:05:08", "02/01/2025",
"VSLH11", "R$3.07","18:05:09", "02/01/2025",
"VIUR11", "R$5.82","18:05:11", "02/01/2025",
"VIFI11", "R$6.69","18:05:12", "02/01/2025",
"VILG11", "R$73.65","18:05:14", "02/01/2025",
"VILG11", "R$73.65","18:05:15", "02/01/2025",
"VISC11", "R$95.81","18:05:16", "02/01/2025",
